1 61 -11.8773 2.1    -22.09627129
1 62 -11.8773 2.2    -22.23357755
1 63 -11.8773 2.3    -22.38118636
1 64 -11.8773 2.4     -22.5377897
1 65 -11.8773 2.5    -22.70211295
1 66 -11.8773 2.6     -22.8729681
1 67 -11.8773 2.7    -23.04928462
1 68 -11.8773 2.8    -23.23012285
1 69 -11.8773 2.9    -23.41467481
1 70 -11.8773 3    -23.60225698
1 71 -11.8773 3.1    -23.79229851
1 72 -11.8773 3.2    -23.98432754
1 73 -11.8773 3.3    -24.17795721
1 74 -11.8773 3.4    -24.37287235
1 75 -11.8773 3.5    -24.56881758
1 76 -11.8773 3.6    -24.76558678
1 77 -11.8773 3.7    -24.96301414
1 78 -11.8773 3.8     -25.1609666
1 79 -11.8773 3.9    -25.35933764
1 80 -11.8773 4     -25.5580421
2 0 -11.7545 -4    -24.00170774
2 1 -11.7545 -3.9    -23.90190983
2 2 -11.7545 -3.8    -23.80216414
2 3 -11.7545 -3.7    -23.70248413
2 4 -11.7545 -3.6    -23.60288672
2 5 -11.7545 -3.5    -23.50339314
2 6 -11.7545 -3.4    -23.40403003
2 7 -11.7545 -3.3     -23.3048308
2 8 -11.7545 -3.2    -23.20583727
2 9 -11.7545 -3.1    -23.10710176
2 10 -11.7545 -3     -23.0086896
2 11 -11.7545 -2.9    -22.91068215
2 12 -11.7545 -2.8    -22.81318053
2 13 -11.7545 -2.7    -22.71630993
2 14 -11.7545 -2.6    -22.62022472
2 15 -11.7545 -2.5    -22.52511423
2 16 -11.7545 -2.4    -22.43120906
2 17 -11.7545 -2.3    -22.33878777
2 18 -11.7545 -2.2    -22.24818322
2 19 -11.7545 -2.1     -22.1597879
2 20 -11.7545 -2    -22.07405678
2 21 -11.7545 -1.9    -21.99150613
2 22 -11.7545 -1.8    -21.91270597
2 23 -11.7545 -1.7    -21.83826399
2 24 -11.7545 -1.6    -21.76879894
2 25 -11.7545 -1.5    -21.70490273
2 26 -11.7545 -1.4     -21.6470928
2 27 -11.7545 -1.3    -21.59575927
2 28 -11.7545 -1.2    -21.55111486
2 29 -11.7545 -1.1    -21.51315746
2 30 -11.7545 -1    -21.48165521
2 31 -11.7545 -0.9    -21.45615979
2 32 -11.7545 -0.8    -21.43604763
2 33 -11.7545 -0.7    -21.42058136
2 34 -11.7545 -0.6    -21.40897936
2 35 -11.7545 -0.5    -21.40048031
2 36 -11.7545 -0.4    -21.39439277
2 37 -11.7545 -0.3    -21.39012547
2 38 -11.7545 -0.2    -21.38719902
2 39 -11.7545 -0.1    -21.38524356
2 40 -11.7545 0    -21.38398795
2 41 -11.7545 0.1    -21.38324608
2 42 -11.7545 0.2    -21.38290442
2 43 -11.7545 0.3    -21.38291385
2 44 -11.7545 0.4    -21.38328804
2 45 -11.7545 0.5    -21.38411005
2 46 -11.7545 0.6    -21.38554927
2 47 -11.7545 0.7    -21.38789018
2 48 -11.7545 0.8    -21.39157363
2 49 -11.7545 0.9    -21.39724806
2 50 -11.7545 1    -21.40582186
2 51 -11.7545 1.1    -21.41849974
2 52 -11.7545 1.2    -21.43677988
2 53 -11.7545 1.3    -21.46239053
2 54 -11.7545 1.4    -21.49716024
2 55 -11.7545 1.5    -21.54283941
2 56 -11.7545 1.6    -21.60091099
2 57 -11.7545 1.7     -21.6724339
2 58 -11.7545 1.8    -21.75795103
2 59 -11.7545 1.9    -21.85747327
2 60 -11.7545 2     -21.9705309
2 61 -11.7545 2.1    -22.09627129
2 62 -11.7545 2.2    -22.23357755
2 63 -11.7545 2.3    -22.38118636
2 64 -11.7545 2.4     -22.5377897
2 65 -11.7545 2.5    -22.70211295
2 66 -11.7545 2.6     -22.8729681
2 67 -11.7545 2.7    -23.04928462
2 68 -11.7545 2.8    -23.23012285
2 69 -11.7545 2.9    -23.41467481
2 70 -11.7545 3    -23.60225698
2 71 -11.7545 3.1    -23.79229851
2 72 -11.7545 3.2    -23.98432754
2 73 -11.7545 3.3    -24.17795721
2 74 -11.7545 3.4    -24.37287235
2 75 -11.7545 3.5    -24.56881758
2 76 -11.7545 3.6    -24.76558678
2 77 -11.7545 3.7    -24.96301414
2 78 -11.7545 3.8     -25.1609666
2 79 -11.7545 3.9    -25.35933764
2 80 -11.7545 4     -25.5580421
3 0 -11.6318 -4    -24.00170774
3 1 -11.6318 -3.9    -23.90190983
